Designator,Mid X,Mid Y,Rotation,Layer
R2,120.65,-48.26,0.0,top
R6,96.52,-58.42,0.0,top
C13,114.3,-80.01,90.0,top
R5,120.65,-52.9153,180.0,top
R8,102.7378,-76.1965,-90.0,top
C4,97.1013,-93.585,90.0,top
CON4,95.25,-107.95,180.0,top
SW1,98.4672,-49.525,90.0,top
U3,96.52,-72.39,90.0,top
R7,101.6,-76.2,-90.0,top
C14,115.57,-80.01,90.0,top
R3,94.6063,-79.1601,90.0,top
U2,69.85,-53.7785,0.0,top
CON1,120.65,-102.8825,90.0,top
C6,107.95,-80.01,90.0,top
C10,110.49,-80.01,90.0,top
C11,111.76,-80.01,90.0,top
C8,105.41,-75.565,45.0,top
C9,106.68,-76.5412,45.0,top
C2,94.615,-64.77,0.0,top
C15,116.84,-80.01,90.0,top
C12,113.03,-80.01,90.0,top
R4,129.6175,-53.975,-90.0,top
C3,120.65,-60.96,-90.0,top
C5,104.0863,-93.585,-90.0,top
U4,128.27,-60.96,90.0,top
Y1,100.9,-93.585,90.0,top
J1,128.3718,-45.175,180.0,top
U1,101.0072,-83.815,0.0,top
R1,91.2226,-61.5182,180.0,top
J2,133.355,-94.615,180.0,top
CON3,95.25,-121.915,180.0,top
SW2,109.22,-49.525,-90.0,top
CON2,110.5661,-102.8935,90.0,top
C7,109.22,-80.01,90.0,top
C1,135.89,-60.96,90.0,top
